name,ring,quadrant,isNew,description
ELK Stack,adopt,tools,TRUE,"Supporting and developing distributed systems requires the ability to debug events that occur across many systems. Having the logs emitted from each system centralised in a single store that is easily searched is vital for this. The ELK (Elasticsearch, Logstash and Kibana) Stack is a mature open source platform for this task."
CodeScene,adopt,tools,TRUE,"CodeScene identifies patterns in the evolution of your code. This gives you the power to predict its future and find areas that are hard to evolve and prone to defects (i.e. areas of ""tech debt""). This tool has been successfully trialled by many teams over the last few years and its recent v4 upgrade has made it even easier to use. For more information about onboarding, please read this <a href=""https://developer.bskyb.com/wiki/display/CSEH/CodeScene"">wiki page</a>."
Prometheus and Grafana,adopt,tools,TRUE,"For monitoring and altering of the health of applications in production, the ability to collect and store time series data is important. Prometheus and Grafana provide a set of mature tools to achieve this."
OpenAPI,adopt,tools,TRUE,"OpenAPI is now the leading standard for creating specifications for RESTful API and describing JSON messages. Our department's CSC Interface Specifications initiative is making a big push to get all our interfaces properly documented using OpenAPI. For more information about how to use OpenAPI and the tooling supporting it, please visit the <a href=""https://developer.bskyb.com/wiki/display/CSEH/CSC+Interface+Specifications"">CSC Interface Specifications initiative wiki page</a>."
Pact Foundation,trial,tools,TRUE,A cross platform testing tool framework used for Consumer Driven Contract Testing. It generates JSON contracts via unit tests which can then be exchanged with the provider. It involves minimal setup for both Provider and Consumer and has well written documentation and resources dedicated to it. Its power lies in its simplicity.
Blackduck,trial,tools,TRUE,"Adding security scans to your CI/CD pipeline has never been easier with the Blackduck tooling. It checks for known vunerabilities and license problems for each of your project's dependencies. The PMP team are already using it and all GOTT projects for Peacock are using it too. If your team is interested in using this tool, please let us know and we will organise help from the PMP team or Jake Straker from the OTT Security team. "
Dependabot,assess,tools,TRUE,"A tool that complements Blackduck is Dependabot. This tool automatically updates your project's dependencies for you by creating PRs that your team can quickly accept if your tests still pass. If your team uses GitHub and would like to help assess it, please let us know. It's as easy as adding <a href=""https://dependabot.com/docs/config-file/"">a configuration file</a> to your GitHub repo."
Consul,hold,tools,TRUE,"Given Kubernetes is our strategic deployment platform of choice, Kubernetes' service discovery and configuration management features make the need for Consul redundant. While systems not yet on Kubernetes may require these features, we would recommend holding off creating more infrastructure with Consul and instead invest the effort moving to k8s."
Semantic Versioning,adopt,techniques,TRUE,"Correctly versioning software that makes sense to everyone using it isn't easy. Using a mature versioning scheme like <a href=""https://semver.org/"">Semantic Versioning</a> helps you version your software service APIs in a way that allows consumers of your service to easily understand the severity of the changes in the new version. It is important to remember that a corresponding git tag of the version should be applied to the commit in the VCS that the versioned artifact was built from."
Pipelines as Code,adopt,techniques,TRUE,Pipelines as code is defining the build and deployment pipeline declaratively through code instead of configuring it in a specific CI/CD tooling.
Pair Programming,adopt,techniques,TRUE,"<a href=""https://en.wikipedia.org/wiki/Pair_programming"">Pair Programming</a> is an Agile software development technique in which two programmers work together at some kind of shared workstation setup. One, the driver, writes code while the other, the observer or navigator, reviews each line of code as it is typed in. The two programmers switch roles frequently. We believe that although this may seem as an inefficient usage of our developers' time, the quality of the code produced leads to less time consuming problems later. Other benefits include improved knowledge and skills sharing and team communication."
